x,y
1.76,16.56
1.1,11.3
2.82,18.55
0.9,7.3
1.44,9.8
3.37,16.8
2.3,17.56
2.12,12.3
0.82,7.3
0.54,7.8
2.14,16.62
24.82,88.35
4.45,31.8
0.76,6.3
2.07,16.0
2.7,16.62
2.02,19.05
1.43,10.8
3.16,19.3
1.6,9.8
2.6,19.85
0.2,6.35
0.7,6.3
2.8,17.05
1.61,10.3
0.79,7.8
1.52,12.3
2.14,14.8
1.13,10.8
1.78,15.55
1.6,13.05
7.05,37.56
0.0,4.3
0.21,5.3
5.34,41.67
2.2,16.8
1.2,8.3
1.49,11.3
2.88,18.3
4.77,34.56
1.86,11.8
0.0,19.0
0.6,9.95
2.41,21.91
0.72,8.16
0.51,7.25
0.98,12.66
8.5,43.86
1.34,10.56
1.69,14.3
5.4,29.3
1.66,12.8
0.49,7.56
1.12,9.3
1.08,11.0
1.17,8.8
1.24,11.3
0.83,7.3
1.15,10.3
1.08,10.56
1.09,7.3
0.7,5.8
1.02,11.0
2.42,14.8
1.19,13.5
1.83,11.3
1.2,9.3
1.5,14.0
2.4,16.8
0.46,5.88
9.5,36.95
0.55,7.3
4.57,28.19
2.98,15.3
1.31,11.3
1.3,12.36
6.21,30.55
5.14,24.36
1.09,10.3
0.73,8.3
0.77,9.3
14.56,64.55
1.26,17.76
3.01,22.56
22.75,77.35
0.0,22.0
3.4,15.8
0.72,6.3
1.65,15.36
9.28,45.8
2.84,12.8
1.07,11.8
4.77,31.8
9.25,35.55
1.85,16.56
0.92,9.36
2.37,14.76
1.06,10.79
17.69,61.35
1.51,14.55
10.49,60.06
0.79,8.19
1.3,8.8
1.1,8.3
2.79,20.46
3.9,22.8
2.0,11.8
3.5,22.45
1.05,14.46
2.47,21.66
1.0,13.71
1.31,16.8
0.7,7.3
10.99,41.8
14.23,49.75
2.31,12.38
7.7,36.0
1.04,8.8
8.27,36.05
17.2,64.85
1.45,10.8
6.04,31.41
2.98,12.3
0.49,10.3
10.76,80.8
1.87,11.8
3.04,19.86
1.69,15.8
0.25,4.8
2.36,18.3
0.86,8.8
1.24,9.36
1.6,14.46
2.1,15.35
3.3,22.25
1.24,11.16
4.17,25.93
1.58,16.8
0.74,7.8
1.01,9.3
1.53,13.56
1.15,9.8
1.79,12.68
8.1,47.51
5.23,34.62
0.4,8.05
4.88,20.76
1.4,12.35
1.4,4.3
0.4,5.8
1.01,8.8
4.7,34.44
2.13,21.94
7.64,26.8
3.85,20.8
1.9,12.8
1.43,12.09
2.7,15.3
1.32,11.16
1.81,13.55
6.9,30.8
1.4,11.15
2.1,12.8
1.4,9.95
1.4,9.3
1.9,17.45
2.21,15.8
3.46,20.3
0.71,11.46
3.1,22.48
2.81,20.38
2.72,14.8
1.7,15.99
1.4,9.8
0.9,8.15
1.4,13.05
1.3,8.8
1.08,7.3
0.0,59.3
9.87,48.8
0.0,0.0
0.7,7.3
2.4,15.8
3.97,20.8
0.65,6.3
2.89,15.8
2.11,17.11
2.45,20.87
3.1,19.55
2.07,12.8
4.0,19.3
1.2,10.8
0.06,-4.3
0.06,4.3
1.65,12.8
0.85,9.36
1.32,10.3
2.4,16.3
9.46,33.8
11.17,34.08
1.53,11.8
0.5,8.16
4.51,21.8
1.32,15.8
1.3,16.25
1.7,10.3
0.02,4.3
1.0,7.3
0.8,9.8
0.6,8.75
1.4,15.05
1.8,14.65
5.9,23.3
0.0,8.0
1.58,15.3
3.22,21.8
1.0,9.3
1.21,9.96
2.4,15.87
1.62,12.96
1.59,10.3
1.41,10.3
1.22,12.96
1.42,12.3
0.16,5.3
6.47,27.36
1.91,18.81
2.0,19.26
1.96,16.56
2.14,17.3
1.37,12.36
5.96,27.3
