x,y
10.33,5955.0
10.42,5955.0
15.25,5955.0
25.75,5955.0
2.17,6139.0
2.17,6165.0
13.25,6270.0
2.33,6690.0
5.33,6443.0
2.17,6532.0
10.17,6932.0
3.83,7420.0
7.67,7420.0
8.33,7420.0
17.5,8413.0
18.33,9000.0
21.83,9000.0
20.83,8790.0
26.83,8790.0
14.25,8869.0
8.0,8885.0
15.17,9000.0
17.83,9000.0
4.75,9447.0
8.25,9840.0
12.58,9840.0
13.42,9840.0
17.92,9840.0
19.25,9840.0
23.58,9840.0
23.75,9840.0
26.42,9840.0
9.75,9525.0
6.0,9788.0
23.92,9905.0
24.58,9988.0
4.42,10575.0
5.33,10575.0
7.92,10575.0
16.33,10575.0
20.83,10575.0
24.75,10260.0
4.42,10349.0
4.17,10523.0
7.08,10549.0
8.0,10575.0
22.75,10680.0
20.08,11205.0
26.67,11573.0
27.58,11625.0
12.08,11295.0
6.33,11609.0
5.0,12150.0
5.75,12150.0
6.0,12150.0
7.58,12150.0
